Article.ID,Summarize,1.1.Geography,1.1.1.Geography-Country,2.1.1.Actors.Institutions,DEPTH SCORE,4.4.1.Depth,Title,Journal,Authors,Citation,Citation.1
6216019,"This study examines farm insurance as a coping mechanism for climate adaptation and advocates for more efficient irrigation and promotion of insurance in South African farmers.|||The study explored affecting uptake of insurance among farmers, the influence of insurance and weather conditions on net farmer revenue.",Africa,South Africa, Individuals or households||| Other,Low,Good analyses linking statistical patterns to relevant conclusions|||Limited depth - focusses on decisions at the individual level on whether or not to purchase insurance,Effects of climate variability and insurance adoption on crop production in select provinces of South Africa,JOURNAL OF WATER AND CLIMATE CHANGE,"Elum, ZA; Nhamo, G; Antwi, MA","Elum, ZA; Nhamo, G; Antwi, MA, Effects of climate variability and insurance adoption on crop production in select provinces of South Africa, JOURNAL OF WATER AND CLIMATE CHANGE","Elum, ZA; Nhamo, G; Antwi, MA, Effects of climate variability and insurance adoption on crop production in select provinces of South Africa, JOURNAL OF WATER AND CLIMATE CHANGE"
6216022,"The responses of Somalis to famine in 2011 are enumerated.|||Interviews with Somalis re: how they coped with famine of 2011-12, esp. their social connectedness.",Africa,Somalia, Individuals or households,Low,The responses are of limited depth; primarily expansions of existing practice|||,Facing famine: Somali experiences in the famine of 2011,FOOD POLICY,"Maxwell, D; Majid, N; Adan, G; Abdirahman, K; Kim, JJ","Maxwell, D; Majid, N; Adan, G; Abdirahman, K; Kim, JJ, Facing famine: Somali experiences in the famine of 2011, FOOD POLICY","Maxwell, D; Majid, N; Adan, G; Abdirahman, K; Kim, JJ, Facing famine: Somali experiences in the famine of 2011, FOOD POLICY"
6216024,"Survey of 808 households in Malawi found that agroforestry program increased yield of maize.|||""This study has estimated the impacts of climate-smart agriculture (CSA) program participation and the adoption of agroforestry fertilizer trees (especially Faidherbia albida) as a pathway for CSA impacts on maize yields, in southern Malawi""|||Only the impact of agroforesty fertilizer  trees is considered.|||Climate data is not  given but the survey included a drought year|||This study show that incorporating agroforestry into climate-smart agriculture (CSA) interventions could enhance agricultural yields among smallholder farmers in the face of climate change",Africa,Malawi, Individuals or households||| Civil Society- international/multinational/national||| National government|||International or multinational governance institutions,Low,Limited depth of change. A few trees used and some soil conservation methods.|||Moderate|||limited,Agroforestry as a pathway to agricultural yield impacts in climate-smart agriculture investments: Evidence from southern Malawi,,"Amadu, F.O.; Miller, D.C.; McNamara, P.E.","Amadu, F.O.; Miller, D.C.; McNamara, P.E., Agroforestry as a pathway to agricultural yield impacts in climate-smart agriculture investments: Evidence from southern Malawi, ","Amadu, F.O.; Miller, D.C.; McNamara, P.E., Agroforestry as a pathway to agricultural yield impacts in climate-smart agriculture investments: Evidence from southern Malawi, "
6216026,"Establishing short and long term measures that pastoral and agropastoral households use to ensure they have access to food in periods of climate extremes could provide insights into ways to support households in similar conditions.|||Household adaptation and coping in pastoralist, agropastoralist and livestock communities in Uganda's cattle corridor district",Africa,Uganda, Individuals or households||| Local government||| Civil Society- sub-national or local,Low,"African continent and see point 1.3|||So far, adaptation responses are primarily reactive; it is noted that with better insitutional frameworks and support, could be transformational",Pastoral community coping and adaptation strategies to manage household food insecurity consequent to climatic hazards in the cattle corridor of Uganda,,"Mayanja, M.N.; Rubaire-Akiiki, C.; Morton, J.; Kabasa, J.D.","Mayanja, M.N.; Rubaire-Akiiki, C.; Morton, J.; Kabasa, J.D., Pastoral community coping and adaptation strategies to manage household food insecurity consequent to climatic hazards in the cattle corridor of Uganda, ","Mayanja, M.N.; Rubaire-Akiiki, C.; Morton, J.; Kabasa, J.D., Pastoral community coping and adaptation strategies to manage household food insecurity consequent to climatic hazards in the cattle corridor of Uganda, "
6216028,"adoption of agronomic practices to adapt to climate change by farmers in China|||A questionnaire survey (n=180) was conducted in Henan Province, China to assess agronomic practices of smallholder farmers, adaptation strategies and how climate change awareness and perceptions influence the farmers' choice of agronomic practices.", Asia,China, Individuals or households,Low,limited|||Limited - behavioural change and farmers are not adapting,"Assessment of climate change awareness and agronomic practices in an agricultural region of Henan Province, China",ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,"Kibue, GW; Pan, GX; Zheng, JF; Li, ZD; Mao, L","Kibue, GW; Pan, GX; Zheng, JF; Li, ZD; Mao, L, Assessment of climate change awareness and agronomic practices in an agricultural region of Henan Province, China, ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY","Kibue, GW; Pan, GX; Zheng, JF; Li, ZD; Mao, L, Assessment of climate change awareness and agronomic practices in an agricultural region of Henan Province, China, ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY"
6216030,"Tunisian dairy farmer responses include increasing water capacity for livestock and crop production, and improving livestock and housing conditions, though attitudes vary depending on farm typology (size, resource access).|||This study investigate Tunisian farmers' perceptions of the impact of climate change and explore what are the  possible adaptation strategies for the various cattle dairy farming systems present in the country.",Africa,Tunisia, Individuals or households||| Local government||| Private sector corporations,Low,"limited to moderate, depending on intervention and production system|||limited",Climate change-related risks and adaptation strategies as perceived in dairy cattle farming systems in Tunisia,CLIMATE RISK MANAGEMENT,"Amamou, H; Ben Sassi, M; Aouadi, H; Khemiri, H; Mahouachi, M; Beckers, Y; Hammami, H","Amamou, H; Ben Sassi, M; Aouadi, H; Khemiri, H; Mahouachi, M; Beckers, Y; Hammami, H, Climate change-related risks and adaptation strategies as perceived in dairy cattle farming systems in Tunisia, CLIMATE RISK MANAGEMENT","Amamou, H; Ben Sassi, M; Aouadi, H; Khemiri, H; Mahouachi, M; Beckers, Y; Hammami, H, Climate change-related risks and adaptation strategies as perceived in dairy cattle farming systems in Tunisia, CLIMATE RISK MANAGEMENT"
6714220,Behavioral adaptation responses adopted by farmers to reduce food security risk in semi-arid regions.|||This article examines the importance of climate change in the adaptation practices of smallholder farmers in Kenya,Africa,Kenya, Individuals or households||| Civil Society- sub-national or local,Low,low depth|||Changes are primarily a re-arrangement of current activities as a means of spreading and reducing risk rather than an adoption of novel practices or systems.,The salience of climate change in farmer decision-making within smallholder semi-arid agroecosystems,,"Waldman, K.B.; Attari, S.Z.; Gower, D.B.; Giroux, S.A.; Caylor, K.K.; Evans, T.P.","Waldman, K.B.; Attari, S.Z.; Gower, D.B.; Giroux, S.A.; Caylor, K.K.; Evans, T.P., The salience of climate change in farmer decision-making within smallholder semi-arid agroecosystems, ","Waldman, K.B.; Attari, S.Z.; Gower, D.B.; Giroux, S.A.; Caylor, K.K.; Evans, T.P., The salience of climate change in farmer decision-making within smallholder semi-arid agroecosystems, "
6714222,"Smallholder farmer adaptation methods in Ghana|||This paper studies two rural communities in the Savanna agro ecological zone of Ghana and explores smallholder farmers' responses to climate and ecological variation and how they affects their livelihood activities. coping measures like varying planting dates, use of drought tolerant crop varieties, soil conservation strategies are based on farmers indigenous knowledge passed down from generations, but there are also more coping mechanisms suchas   selling household assets, migration of the entire households and decreasing food consumption/changing diets can be damaging.",Africa,Ghana, Individuals or households||| Civil Society- sub-national or local||| Local government,Low,Medium|||,Smallholder farmers' livelihood adaptation to climate variability and ecological changes in the savanna agro ecological zone of Ghana,HELIYON,"Aniah, P; Kaunza-Nu-Dem, MK; Ayembilla, JA","Aniah, P; Kaunza-Nu-Dem, MK; Ayembilla, JA, Smallholder farmers' livelihood adaptation to climate variability and ecological changes in the savanna agro ecological zone of Ghana, HELIYON","Aniah, P; Kaunza-Nu-Dem, MK; Ayembilla, JA, Smallholder farmers' livelihood adaptation to climate variability and ecological changes in the savanna agro ecological zone of Ghana, HELIYON"
6714223,"This paper focuses on farmers' perception of climate change and  the farm management practices they are adopting. However, the author states that the farmers do not find climate change as being an important drivers to change in their management decision, so the  adopted measures are not directly linked to climate change|||The study examined how farmers and advisors perceived climate impacts on dairy farms, the practices they are adopting, and how perceived risks and vulnerability aect farmers' decision making related to adaptation strategies.",North America,"USA|||New York and Wisconsin, USA", Individuals or households,Low,|||Small,"Climate Change and Dairy in New York and Wisconsin: Risk Perceptions, Vulnerability, and Adaptation among Farmers and Advisors",SUSTAINABILITY,"Lane, D; Murdock, E; Genskow, K; Betz, CR; Chatrchyan, A","Lane, D; Murdock, E; Genskow, K; Betz, CR; Chatrchyan, A, Climate Change and Dairy in New York and Wisconsin: Risk Perceptions, Vulnerability, and Adaptation among Farmers and Advisors, SUSTAINABILITY","Lane, D; Murdock, E; Genskow, K; Betz, CR; Chatrchyan, A, Climate Change and Dairy in New York and Wisconsin: Risk Perceptions, Vulnerability, and Adaptation among Farmers and Advisors, SUSTAINABILITY"
6714224,"A study of smallholder farmers in Malawi and their adaptation-related responses to climate change, the barriers to adaptation that they face and how they are reducing these risks.|||Authors specifically asked farmers from Malawi to state which practices they had adopted in recent years to cope with climatic changes. However, their main objective was to analyze the major factors that act as co-determinants of why farmers opted to use various practices in response to difficulties related to climate risks. Therefore,  no specific details on the nature of adapted measures are included; there is just a brief mention on how many farmers are using which adaptive mechanisms. Some of the identified adaptations in this paper were: use of drought-tolerant crop varieties or timing  change in agricultural activities, among others",Africa,Malawi, Individuals or households,Low,Shallow depth.|||,"Response to climate risks among smallholder farmers in Malawi: A multivariate probit assessment of the role of information, household demographics, and farm characteristics",CLIMATE RISK MANAGEMENT,"Mulwa, C; Marenya, P; Rahut, DB; Kassie, M","Mulwa, C; Marenya, P; Rahut, DB; Kassie, M, Response to climate risks among smallholder farmers in Malawi: A multivariate probit assessment of the role of information, household demographics, and farm characteristics, CLIMATE RISK MANAGEMENT","Mulwa, C; Marenya, P; Rahut, DB; Kassie, M, Response to climate risks among smallholder farmers in Malawi: A multivariate probit assessment of the role of information, household demographics, and farm characteristics, CLIMATE RISK MANAGEMENT"
6714225,"260  farmers were surveyed in Ethiopia and were found to be adapting via portfolio diversification, enhancing livestock productivity, agro-ecological practices, and diversifying non-agricultural income choices.|||This study used cross-sectional data, which limit observation across longterm changes in farmers' climate change perception and adaptation. As",Africa,"Ethiopia|||Northeastern Amhara, Ethiopia", Individuals or households||| Civil Society- sub-national or local,Low,The responses are of limited depth as they are primarily extensions of existing practices.|||,"Determinants of adaptation choices to climate change in agro-pastoral dry lands of Northeastern Amhara, Ethiopia",COGENT ENVIRONMENTAL SCIENCE,"Mihiretu, A; Okoyo, EN; Lemma, T","Mihiretu, A; Okoyo, EN; Lemma, T, Determinants of adaptation choices to climate change in agro-pastoral dry lands of Northeastern Amhara, Ethiopia, COGENT ENVIRONMENTAL SCIENCE","Mihiretu, A; Okoyo, EN; Lemma, T, Determinants of adaptation choices to climate change in agro-pastoral dry lands of Northeastern Amhara, Ethiopia, COGENT ENVIRONMENTAL SCIENCE"
6714226,"Farmer's will improve their level of understanding about of climate change, vulnerability and adaptation practices if involved with climate climate field school and farmer associations. It could accelerate the dissemination of agricultural adaptation practices.|||This study follows up on villages that were part of a climate field school initiative and compares to ones that were not. The household surveys are mostly about perceptions and vulnerability, but there is some information on adaptations that have been put in place. Climate data is also presented, but is not linked with risk or the success of the adaptation measures.|||""this paper focuses on the assessment of perceptions of climate change (temperature, rainfall, floods, droughts and salinity) and vulnerability ... Correlations between the perception of climate change and the adoption of agricultural adaptation practices are also included in this article.", Asia,Kalapara sub-district of Patuakhali district of Bangladesh|||Bangladesh, Individuals or households||| National government||| Civil Society- sub-national or local,Low,limited|||small,Comparison between meteorological data and farmer perceptions of climate change and vulnerability in relation to adaptation,JOURNAL OF ENVIRONMENTAL MANAGEMENT,"Hasan, MK; Kumar, L","Hasan, MK; Kumar, L, Comparison between meteorological data and farmer perceptions of climate change and vulnerability in relation to adaptation, JOURNAL OF ENVIRONMENTAL MANAGEMENT","Hasan, MK; Kumar, L, Comparison between meteorological data and farmer perceptions of climate change and vulnerability in relation to adaptation, JOURNAL OF ENVIRONMENTAL MANAGEMENT"
6714227,"The study assesses the climate change adaptation practices used by rice farmers in the Tanahun district of Nepal, their impact on rice productivity, and the factors that affect farmers' decisions to adopt adaptation practices. his study provides empirical evidence indicating the need for policy makers to take into consideration autonomous adaptations when designing planned adaptations against likely impacts of climate change.|||""This study compares the rice productivity between farms adopting climate change adaptation practices and those not adopting based on cross-sectional survey data collected in the Tanahun district of Nepal. The average rice productivity of adopting farms is found to be significantly higher than that of non-adopting farms. This means the adaptation practices which farmers have been autonomously adopting in rice farms is playing an important role in maintaining or increasing rice productivity in the context of climate change.""", Asia,Tanahun district of Nepal|||Nepal, Individuals or households,Low,Limited depth|||Limited,"Autonomous adaptations to climate change and rice productivity: a case study of the Tanahun district, Nepal",CLIMATE AND DEVELOPMENT,"Khanal, U; Wilson, C; Hoang, VN; Lee, BL","Khanal, U; Wilson, C; Hoang, VN; Lee, BL, Autonomous adaptations to climate change and rice productivity: a case study of the Tanahun district, Nepal, CLIMATE AND DEVELOPMENT","Khanal, U; Wilson, C; Hoang, VN; Lee, BL, Autonomous adaptations to climate change and rice productivity: a case study of the Tanahun district, Nepal, CLIMATE AND DEVELOPMENT"
6714228,"'Integrated crop management (ICM) practices as part of climate smart jute farming (CSJF) was practised by 170 randomly selected farmers in six villages. An estimation of cost of adoption, change in fibre yields, net returns and human development index (HDI) before and after ICM interventions was done.'|||Explores the economic benefits of climate smart practices (integrated crop management) in jute farming in West Bengal, India", Asia,India, National government||| Individuals or households||| Civil Society- sub-national or local||| Other,Medium,"Significant change required: 2 years of education to develop knowledge for new practices.|||Limited depth: New combinations of agricultural practices were introduced to help farmers better cope with climate variability. However, no radical changes were made in livelihoods or social/economic/institutional structures.","Impacts of climate smart jute farming on resource use efficiency, productivity and economic benefits in rural Eastern India",OUTLOOK ON AGRICULTURE,"Singh, AK; Jha, SK; Majumdar, B; Roy, ML; Sarkar, S; Ghorai, AK","Singh, AK; Jha, SK; Majumdar, B; Roy, ML; Sarkar, S; Ghorai, AK, Impacts of climate smart jute farming on resource use efficiency, productivity and economic benefits in rural Eastern India, OUTLOOK ON AGRICULTURE","Singh, AK; Jha, SK; Majumdar, B; Roy, ML; Sarkar, S; Ghorai, AK, Impacts of climate smart jute farming on resource use efficiency, productivity and economic benefits in rural Eastern India, OUTLOOK ON AGRICULTURE"
6714232,"Laser leveller and irrigation structure improvements are primary responses in rice and wheat production in Punjab|||Responses like use of Direct Seeded Rice ((sic)28417) and ZTW in wheat are the most efficient among adopters in  different agro-climatic zones of Punjab, India.", Asia,India, Individuals or households,Not certain / Insufficient information / Not assessed,"while responses demonstrate cost-effectiveness, adoption is expensive and can lock farmers into treadmill of production that demonstrates both potential to improve water use efficiency and further draw-down of water resources. The more farmers are invested in these technologies, the greater the depth of path dependence along this development pathway|||",Enhancing Farmers' Income through Climate Resilient Technologies,INDIAN JOURNAL OF ECONOMICS AND DEVELOPMENT,"Kumar, S; Sidana, BK","Kumar, S; Sidana, BK, Enhancing Farmers' Income through Climate Resilient Technologies, INDIAN JOURNAL OF ECONOMICS AND DEVELOPMENT","Kumar, S; Sidana, BK, Enhancing Farmers' Income through Climate Resilient Technologies, INDIAN JOURNAL OF ECONOMICS AND DEVELOPMENT"
6714233,"wide range of strategies have been adopted in order to respond to the variability and change. These strategies include crisis responses, modifying farming practices, modifying crop types and varieties, resource management and diversification.|||Document reporting adaptation-related measures undertaken by farmers in various African countries in the face of climate-induced changes (e.g. precipitation variability). Adaptations were various, including modifying farming practices, modifying crop types and varieties, resource management and diversification of activities.|||Exclusion (insufficient detail and relevance for adaptation unclear): Though this article's primary question is whether farmers'  responses to climate variability and change in southern African can be classified as 'coping' or 'adaptation' it does not provide sufficient discrete information on what it does deem to be adaptation to be able to code this article.|||This paper presents original qualitative research undertaken in Ã¯Â¬Âve southern African countries (Malawi, Mozambique, South Africa, Zambia and Zimbabwe) to determine farmers' responses and whether they can be classiÃ¯Â¬Âed as coping or adaptation. Farmers adopted a wide range of strategies to respond to climate variability and change, including crisis responses, modifying farming practices, modifying crop types and varieties, resource management and diversiÃ¯Â¬Âcation.|||This paper presents original qualitative research undertaken in five southern African countries (Malawi, Mozambique, South Africa, Zambia and Zimbabwe) to determine farmers' responses and whether they can be classified as coping or adaptation.|||These strategies include crisis responses, modifying farming practices, modifying crop types and varieties, resource management and diversification.",Africa,"five southern African countries (Malawi, Mozambique, South Africa, Zambia and Zimbabwe)|||Malawi, Mozambique, South Africa, Zambia, Zimbabwe|||Malawi, Mozambique, South Africa, Zambia and Zimbabwe|||Malawi|||Mozambique|||South Africa|||Zambia|||Zimbabwe", Individuals or households,Low,"sufficient|||Responses do not reflect something new, novel, or different. Measures also reflect no real difference in the underlying values, assumptions, and norms and were reported to take place in other agrarian settings.|||Overall, the adaptation responses presented in the study are not novel as such|||incremental change to a variety of new approaches although not different from existing norms and practices. Diversification comes together with business-as-usual practices, with no real difference in the underlying values, assumptions and norms.",Farmers' responses to climate variability and change in southern Africa - is it coping or adaptation?,CLIMATE AND DEVELOPMENT,"Vincent, K; Cull, T; Chanika, D; Hamazakaza, P; Joubert, A; Macome, E; Mutonhodza-Davies, C","Vincent, K; Cull, T; Chanika, D; Hamazakaza, P; Joubert, A; Macome, E; Mutonhodza-Davies, C, Farmers' responses to climate variability and change in southern Africa - is it coping or adaptation?, CLIMATE AND DEVELOPMENT","Vincent, K; Cull, T; Chanika, D; Hamazakaza, P; Joubert, A; Macome, E; Mutonhodza-Davies, C, Farmers' responses to climate variability and change in southern Africa - is it coping or adaptation?, CLIMATE AND DEVELOPMENT"
